sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstinc,bonus,pctaff,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type2,status2,date2,ncalls2,empft2,emppt2,nmgrs2,wage_st2,inctime2,firstin2,special2,meals2,open2r,hrsopen2,psoda2,pfry2,pentree2,nregs2,nregs112,fte1,fte2,dfte
128,2,1,1,0,1,0,0,0,0,3,6.5,7.5,2,5,,.15000001,0,,2,11,11,1.0599999,.85000002,2.3399999,4,2,1,1,111492,1,3,16,2,5.0500002,26,.25,0,1,11,11,1.05,.79000002,2.3199999,3,2,12.25,13,.75
129,3,0,1,0,1,0,0,0,0,3,20,20,3,5.25,26,.050000001,0,0,2,6,16,1.1,1,.74000001,6,4,1,1,111392,,7,18,4,5.0500002,52,.25,0,2,6,16,1.11,1,.88999999,4,3,33,20,-13
130,3,1,1,0,1,0,0,0,0,2,7,25.5,3,4.5,19,.30000001,0,15,2,5,18,1.12,1.0700001,1,4,3,2,1,122192,6,2,38,4,5.0500002,4,.15000001,0,2,7,16,1.11,1.0599999,1.05,5,3,22.75,25,2.25
131,3,0,1,0,1,0,0,0,0,2,15,25,4,5.5,4,.37,1,10,2,6,17,1.0599999,1.0599999,1.0599999,5,2,2,1,121692,2,8,22,3,5.0500002,,,0,2,7,15,1.05,1.11,1.05,5,4,31.5,22,-9.5
132,3,1,1,0,1,0,0,0,0,0,20,20,5,4.5,26,.25,0,80,2,0,24,1.28,1.0599999,2.3,5,3,1,1,111692,,15,20,3,5.5,52,.25,0,2,7,14,,,,2,2,35,28,-7
133,3,1,1,0,1,0,0,0,0,0,6,16,2,4.75,26,,0,99,2,6,17,1.12,1.0700001,1.0599999,4,3,1,1,111392,,3,20,3,5.0500002,26,,0,2,7,15,1.11,1.0599999,2.1099999,5,3,16,16,0
134,3,0,1,0,1,0,0,0,0,2,5.5,25,3,4.6199999,,,0,42,2,6,16,1.09,,.94999999,4,3,1,1,111392,,6,27.5,3,5.0500002,52,.25,0,2,6,16,1.11,1.0599999,.94,4,3,21,22.75,1.75
135,3,0,1,0,1,0,0,0,0,0,10,20,4,,26,,0,,0,9,12.5,,,,5,3,1,1,111692,,8,24,3,5.0500002,,.25,0,2,10,11.5,1.16,1.0599999,1.05,5,3,24,23,-1
136,3,1,1,0,1,0,0,0,0,2,14.5,14.5,5,4.25,21,.27000001,0,5,2,6,17,1.12,1.0700001,1.1,5,4,2,0,121692,3,,,,,,,,,7,16,,,,,,26.75,,
137,3,1,1,0,0,1,0,0,0,3,15,25,3,4.25,26,.15000001,0,50,2,6,16,1.12,1.0599999,1.02,6,4,1,1,111692,1,12,30,5,5.0500002,26,.25,0,2,7,15,1.11,1.11,1.05,5,3,30.5,32,1.5
138,3,1,1,0,0,1,0,0,0,0,4.5,25.5,2,,,,1,,2,10,11.5,1.12,1.0700001,1.0599999,6,,1,1,111692,,2,33,3,5.0500002,26,.2,0,2,10,11.5,1.21,1.01,.94,6,4,19.25,21.5,2.25
139,4,0,1,0,1,0,0,0,0,0,,,2,5.5,,,0,,2,10.5,12.5,.94999999,.94999999,1.0599999,2,1,1,1,111492,,11,25,5,5.5,19,.25,1,2,11,12,,,,,,,28.5,
140,4,0,1,0,1,0,0,0,0,0,0,40,3,4.5,26,.37,1,25,2,10.5,11.5,.91000003,.86000001,1.0599999,2,2,1,1,111492,,5,35,5,5.6700001,4,.25,1,2,10.5,11.5,1,.94,1.05,2,2,23,27.5,4.5
141,4,0,1,0,1,0,0,0,0,0,10,15,4,4.75,13,.27000001,1,,2,10.5,12.5,1.02,.91000003,1.0599999,2,2,1,1,111892,2,10,25,3,5.0500002,13,.18000001,1,2,10.5,12.5,1.05,.83999997,1.34,2,2,21.5,25.5,4
142,4,0,1,0,0,1,0,0,0,0,15,35,4,4.25,26,.15000001,1,,2,10,11.5,1.0599999,.94999999,1.0599999,2,2,1,1,111492,,40,31,5,5.0500002,26,.18000001,0,2,10,11.5,1.01,.88999999,1.26,2,2,36.5,60.5,24
143,4,0,1,0,1,0,0,0,0,3,0,30,3,5.3699999,26,.25,1,15,2,10.5,11.5,.94999999,.94999999,1.0599999,2,2,2,4,121692,2,,,,,,,,,,,,,,,,18,,
144,4,0,1,0,1,0,0,0,0,2,10,30,3,5.0500002,26,.15000001,1,0,2,10.5,12.5,.91000003,.85000002,1.0599999,2,2,1,1,111792,1,4,37,3,5.0500002,26,.34999999,1,2,10.5,12.5,.94,.94,1.26,2,2,28,25.5,-2.5
145,1,0,1,0,0,1,0,0,0,0,5,17,3,5,13,.15000001,1,0,2,7,16,1.0599999,.94999999,.94999999,3,2,1,1,111092,,10,8,4,5.2800002,26,.13,1,2,7,16,1.05,.95999998,.94999999,3,2,16.5,18,1.5
146,1,0,1,0,0,1,0,0,0,3,8,20,5,4.8000002,26,.25,1,,2,7,16,1.0599999,1,1.0599999,4,3,1,1,111092,,0,32,4.5,5.0500002,26,.17,0,2,7,16,1.05,.99000001,1.05,4,3,23,20.5,-2.5
147,1,0,1,0,0,1,0,0,0,0,8.5,6.5,3,5.1199999,8,.25,0,100,2,7,14,1.12,.88999999,.94999999,2,2,1,1,111892,1,6,0,3,5.25,13,.38,0,2,7,14,1.13,.91000003,.91000003,2,2,14.75,9,-5.75
148,1,0,1,0,0,1,0,0,0,4,4.5,30,4,5.25,26,.17,1,0,2,7,17,1.0599999,.94999999,.94999999,3,2,1,1,111092,,7.5,30,4,5.0500002,26,.2,1,2,7,17,1.05,.94,.94,3,3,23.5,26.5,3
149,1,0,1,0,0,1,0,0,0,1,0,20,4,4.5,26,.27000001,0,50,3,7,16,1.0599999,.94999999,.94999999,2,1,1,1,111092,,8,10,3,5.0500002,26,.25,0,2,7,16,1.05,.94,.94,2,2,14,16,2
150,1,0,1,0,0,1,0,0,0,2,0,27.5,3.5,4.6700001,26,.27000001,1,2,2,7,16,1.23,.88999999,.88999999,3,3,2,1,123192,8,12,20,3,5.75,28,.57999998,0,2,7,15,1.11,.88,.88,3,2,17.25,25,7.75
151,1,0,1,0,0,1,0,0,0,0,1,12,3,5,12,.1,0,92,2,7,15,1.09,.81,1.04,3,3,2,3,123092,2,0,0,0,,,,,,,,,,,,,10,0,-10
152,1,0,1,0,0,1,0,0,0,0,35,15,4,5.1199999,9,.67000002,1,10,1,7,15,1.17,.94999999,1.02,3,2,1,1,111092,,12,13.5,5,5.0500002,13,.28,0,2,7,15,1.16,.94,.94,3,3,46.5,23.75,-22.75
153,1,0,1,0,0,1,0,0,0,0,0,25,9,,52,.15000001,0,33,1,7,17,1,.94999999,.88999999,4,3,1,1,111092,,26.5,10,3,5.0500002,26,.15000001,0,2,7,17,1.05,.94999999,.94999999,3,2,21.5,34.5,13
156,1,0,1,0,0,1,0,0,0,0,8,15,3,4.8699999,6,.25,0,0,1,7,15,1.0599999,.94999999,1.02,8,3,1,1,111092,,2,18,2,5.0500002,,.30000001,0,2,7,15,.94999999,.94,1.01,3,,18.5,13,-5.5
157,2,0,1,0,0,1,0,0,0,0,10,5,3,5,26,.25,0,0,1,10.5,12,.91000003,.85000002,2.3399999,3,3,1,1,111792,2,12,8,2,5.5,26,.25,0,1,10.5,11,.94999999,.82999998,2.47,2,2,15.5,18,2.5
158,2,0,1,0,0,1,0,0,0,1,2,7,3,4.5,4,.12,0,55,1,11,10,.92000002,.69999999,2.3399999,3,3,1,1,111192,,3,4,4,5.0500002,13,.25,0,1,11,11.5,.94999999,.94,2.49,3,2,8.5,9,.5
159,2,0,1,0,0,1,0,0,0,8,6,12,2,4.5,4,.12,0,22,1,10.5,10.5,.98000002,.85000002,2.3399999,3,3,1,1,111492,,10,5,4,5.25,13,.25,0,1,10.5,11.5,.94999999,.83999997,2.49,4,3,14,16.5,2.5
161,3,1,1,0,0,1,0,0,0,0,8,25,4,5,19,.15000001,0,2,2,6,17,1.12,1.02,1.0599999,7,3,1,1,111992,4,26,12,4,5.0500002,,,0,2,6,17,1.11,1.0599999,1.05,7,5,24.5,36,11.5
162,3,1,1,0,0,1,0,0,0,2,0,40,3,4.75,26,.17,0,45,2,6,16.5,1.12,1.02,1.0599999,,1,1,1,111292,,3,30,3,5.0500002,26,.18000001,0,2,7,15.5,1.11,1.01,1.05,6,5,23,21,-2
163,3,1,1,0,0,1,0,0,0,0,12,18,3,5,13,.15000001,0,11,2,6,16.5,1.2,1.0700001,1.0599999,3,3,1,1,111292,,1.5,33,3,5.0500002,26,.15000001,0,2,7,15,,,,,,24,21,-3
164,3,1,1,0,0,1,0,0,0,0,4,30,4,5,26,.1,0,3,2,5,19,1.12,1.02,1.0599999,5,3,1,1,111292,,5,15,3,5.0500002,52,.15000001,0,2,6,17,1.11,1.0599999,1.05,5,3,23,15.5,-7.5
165,4,0,1,0,0,1,0,0,0,1,20,10,3,5,15,.27000001,1,60,2,10.5,12.5,1.0599999,.88999999,1.0599999,3,2,1,1,111792,1,10,17,4,5.0500002,14,.13,0,2,10.5,12.5,1.05,.98000002,1.05,2,2,28,22.5,-5.5
166,4,0,1,0,0,1,0,0,0,0,8,32,5,4.75,26,.25,1,40,2,10.5,11.5,.94999999,.85000002,1.0599999,2,2,1,1,111392,1,0,35,4,5.0500002,26,.18000001,0,2,10.5,12.5,1.11,.83999997,1.26,2,2,29,21.5,-7.5
168,1,0,1,0,0,1,0,0,0,0,5,20,4,4.25,4,.25,1,50,1,7,15,1.0599999,.94999999,.94999999,3,3,1,1,111692,,0,32,4,5.25,10,.18000001,0,1,6,16,1.11,.94999999,1.14,3,1,19,20,1
169,1,1,1,0,0,1,0,0,0,0,12,33,4,5,13,.25,0,50,2,7,16,1.1,.94,1.04,3,3,1,1,111692,,20,6,4,5.0500002,52,.15000001,0,2,7,16,1.11,1.05,1.05,3,3,32.5,27,-5.5
170,1,1,1,0,0,1,0,0,0,1,10,20,3,5,52,.51999998,0,0,2,7,16,1.1,1.02,1.08,3,2,1,1,111092,,20,20,4,5.0500002,4,,0,1,7,16,1.29,1.11,1.1799999,4,4,23,34,11
171,1,1,1,0,0,1,0,0,1,0,2,32,3,4.25,8,.25,0,,2,7,16,1.09,.94999999,1.04,3,3,1,1,111092,,10,12.5,5,5.0500002,4,.1,1,2,7,16,1.1799999,1.04,1.03,3,3,21,21.25,.25
172,1,0,1,0,0,1,0,0,0,0,0,24,5,4.75,13,.25,0,.30000001,1,9,12.5,1.12,1.02,1.0599999,5,4,1,1,111692,2,7,23,3,5.0500002,8,.18000001,0,1,9,13,1.11,1.01,1.05,6,3,17,21.5,4.5
173,1,0,1,0,0,1,0,0,0,3,6,40,10,4.8499999,26,.15000001,0,50,2,6.5,17.5,1.0599999,.94999999,.98000002,4,3,1,1,111792,1,11,30,5,5.0500002,26,.15000001,0,2,6,18,1.05,.94,1.04,4,3,36,31,-5
174,1,0,1,0,0,1,0,0,1,2,11,20,4,4.75,26,.15000001,0,50,2,7,16,1.1799999,.88,.98000002,4,3,1,1,111092,,20,20,3,5.0500002,4,.2,0,2,7,16,1.05,.89999998,.98000002,3,3,25,33,8
176,1,0,1,0,0,1,0,0,0,0,15,21,4,4.6199999,13,.12,0,20,1,7,16,1.0599999,,1.05,4,4,1,1,111792,1,20,27.5,4,5.0500002,,,0,2,7,16,1.04,1.0599999,,,,29.5,37.75,8.25
178,2,1,1,0,0,1,0,0,1,0,13,12,3,4.25,52,.2,1,96,1,11,10,.91000003,.85000002,2.3399999,3,2,1,1,111191,,1,10,3,5.0500002,26,.25,1,1,11,10.5,1.01,.94,2.6400001,3,2,22,9,-13
179,2,0,1,0,0,1,0,0,0,2,2,12,3,4.25,13,.25,1,90,1,10.5,10.5,.91000003,.91000003,2.3399999,3,3,1,1,111892,3,2,10,4,5.0500002,26,.2,0,1,10.5,11,.94,.83999997,2.49,3,3,11,11,0
180,2,0,1,0,0,1,0,0,1,0,8,3,4,4.5,26,.25,0,30,2,11,11,1.0599999,1.01,2.6600001,4,2,1,1,111192,,0,17.5,4,5.0500002,,,0,2,11,12,1.05,1.05,2.8499999,4,4,13.5,12.75,-.75
181,2,0,1,0,0,1,0,0,0,0,0,13,3,,,,0,100,1,10.5,11,.91000003,.79000002,2.3399999,3,2,1,1,111192,,1,15,2,5.0500002,,.25,0,1,10.5,11,.94999999,.89999998,2.49,3,2,9.5,10.5,1
182,2,0,1,1,0,0,0,0,1,0,3,15,3,4.5,4,.25,1,100,2,11,11,1.0599999,1.01,2.6600001,4,3,1,1,111192,,0,15,3,5.0500002,26,.25,0,2,11.5,10,1.05,1,2.73,4,3,13.5,10.5,-3
183,2,0,1,0,0,1,0,0,0,0,12,4,4,4.6199999,20,.33000001,0,100,3,11,11,1.0599999,1.01,2.6600001,4,3,1,1,111892,4,15,10,2,5.0500002,13,.25,0,2,11,10.5,1.05,1,2.75,4,3,18,22,4
185,2,0,1,0,1,0,0,0,1,0,2,9,3,4.5,13,.2,0,100,2,11,10.5,1.0599999,1.01,2.6600001,4,4,1,1,111192,,2,6,3,5.0500002,26,.25,1,1,11,10.5,1.05,1,2.75,3,3,9.5,8,-1.5
186,3,0,1,0,0,1,0,0,0,3,10,20,4,4.75,26,.15000001,1,50,2,6,16,1.12,1.02,.94999999,5,3,1,1,111892,3,12,18,4,5.0500002,26,,0,2,6,16,1.17,1.0599999,.94999999,5,3,24,25,1
187,3,0,1,0,0,1,0,0,1,0,4,20,3,5.6199999,26,.51999998,0,2,2,7,15,1.12,1.09,1.0599999,4,3,1,1,111292,,5,17.5,3,5.0500002,13,.2,0,2,7,15,1.11,1.0599999,1.05,4,4,17,16.75,-.25
189,3,0,1,0,0,1,0,0,0,0,4,15,3,4.75,39,.2,0,95,2,7,15,1.12,1.0700001,1.12,4,2,1,1,111292,,0,19,3,5.0500002,52,.2,0,2,7,15,1.11,1.0599999,1.05,5,3,14.5,12.5,-2
190,3,1,1,0,0,1,0,0,0,0,5,42,4,5,26,.12,1,,2,6,16,1.02,1.0700001,1.0599999,5,,1,1,111292,,7,30,4,5.0500002,26,.18000001,0,2,7,15,1.05,1.01,1.74,5,3,30,26,-4
191,4,0,1,0,0,1,0,0,0,0,30,20,4,,,,0,,2,10.5,12,1.0599999,.94999999,1.0599999,,1,1,1,111792,1,0,25,4,5.0500002,6,.25,1,2,10.5,12,1.02,.94,1.05,2,2,44,16.5,-27.5
192,4,0,1,0,0,1,0,0,0,2,20,10,4,4.8699999,26,.17,1,10,2,10,12,.91000003,.85000002,1.0599999,2,2,1,1,111392,,4.5,30,3,5.25,19,.18000001,0,2,10.5,12.5,1.05,.83999997,1.26,2,2,29,22.5,-6.5
193,4,0,1,0,0,1,0,0,1,3,1,13,3,4.5,13,.12,1,,2,10,11,.94999999,.85000002,.99000001,2,1,1,1,111792,2,4,9,3,5.0500002,26,.13,1,2,9,13,1.01,.89999998,1.26,2,1,10.5,11.5,1
195,4,0,1,0,0,1,0,0,1,3,0,30,3,4.25,26,,1,100,2,10.5,11.5,1.0599999,.85000002,1.0599999,2,2,1,1,111892,2,8,25,3,5.0500002,26,.15000001,0,2,10.5,12.5,.94,.83999997,2.1099999,2,2,18,23.5,5.5
196,4,1,1,0,0,1,0,0,0,0,8,19,4,5,26,.2,0,,2,10.5,11.5,.94999999,.85000002,1.0599999,2,2,1,1,111392,,0,30,3,5.0500002,26,.18000001,0,2,10.5,12.5,1,.89999998,2.1099999,2,2,21.5,18,-3.5
197,1,0,1,0,0,1,0,0,0,0,23,10,4,5,26,.25,0,50,2,7,17,.99000001,.88999999,.88999999,3,2,1,1,111792,1,5,21,5,5.0500002,26,.13,0,3,7,17,1.05,.94999999,.94999999,3,1,32,20.5,-11.5
198,1,0,1,0,0,1,0,0,0,0,,,4,4.25,4,.12,1,65,3,7,16,1.0599999,.94999999,.94999999,3,3,1,1,111792,8,10,32,4,5.0500002,26,.15000001,0,2,7,16,1.05,.94,.94,3,3,,30,
199,2,0,1,0,0,1,0,0,0,0,0,12,3,4.3499999,,.12,0,25,1,11,10,.85000002,.80000001,2.3399999,4,3,1,1,111192,,11,3,4,5.0500002,2,.44999999,,1,11,10.5,.91000003,.89999998,2.45,4,3,9,16.5,7.5
200,1,0,1,0,0,1,0,0,0,0,0,60,3,4.25,9,.2,1,15,2,6,18,1.0599999,.91000003,.98000002,4,3,1,1,111092,,5,40,4,5.0500002,52,.25,0,2,6.5,17.5,1.05,.94,.98000002,5,4,33,29,-4
201,1,0,1,0,0,1,0,0,0,0,0,33,3,4.5,26,.34999999,0,65,2,7,17,1.0599999,1.02,.94999999,3,3,1,1,111092,,16,22,3,5.0500002,26,.28,1,1,7,17,1.05,.94999999,.94999999,3,3,19.5,30,10.5
202,1,0,1,0,0,1,0,0,0,2,30,14,4,4.25,4,.37,1,15,2,6,19,1.17,.94999999,.63,3,3,1,1,111692,,13,11,4,5.0500002,4,.079999998,0,3,6,19,1.15,.94999999,.63999999,3,3,41,22.5,-18.5
203,1,0,1,0,0,1,0,0,0,2,9,12,2,4.25,26,.15000001,0,50,2,7,17,1.0599999,.94999999,.94999999,3,3,1,1,111092,,4,34,3,5.0500002,26,.18000001,0,0,7,17,1.05,.94999999,.94999999,3,2,17,24,7
204,1,0,1,0,0,1,0,0,0,0,10,8.5,4,4.25,13,.27000001,0,31,2,6.5,17.5,1.0599999,1,1.0599999,3,3,1,1,111092,,12,13.5,3,5.0500002,13,.25,0,2,6.5,17.5,1.05,.99000001,1.05,3,2,18.25,21.75,3.5
207,2,1,1,0,0,1,0,0,0,0,8,10,4,4.75,8,.25,0,25,1,11,12,1.0599999,.85000002,2.3399999,4,2,1,1,111192,,8.5,6,2,5.1999998,52,.5,1,1,11,12,1.05,.83999997,2.3199999,5,3,17,13.5,-3.5
208,3,1,1,0,0,1,0,0,0,1,12,32,4,4.6199999,26,.15000001,0,95,2,6,17,1.1900001,.94,.85000002,4,4,1,1,111792,2,5,32,3,5.0500002,26,,0,2,8,14,1.0599999,1.0599999,1.05,5,5,32,24,-8
209,3,1,1,0,0,1,0,0,0,0,4,36,4,4.25,26,.12,0,75,2,6,18,1.17,.94999999,.94999999,5,5,1,1,111192,,6,37,4,5.0500002,26,.2,0,2,7,16,1.11,1.0599999,1.05,5,5,26,28.5,2.5
210,4,1,1,0,0,1,0,0,0,3,0,19,2,4.5,13,.17,1,90,2,10.5,11.5,1.0599999,.94999999,.94999999,4,2,1,1,111392,,0,14,3,5.0500002,13,.2,0,2,10,11,,,,4,,11.5,10,-1.5
211,1,0,1,1,0,0,0,0,0,2,3,28,4,4.5,13,,0,80,2,7,15,1.02,.94999999,.94999999,3,3,1,1,111692,,2,35,4,5.0500002,4,,0,2,7,15,,.89999998,,3,2,21,23.5,2.5
212,1,0,1,1,0,0,0,0,0,0,11,17.5,3,4.5,13,.17,0,95,1,7,16,1.0599999,.88,.83999997,3,2,1,1,111092,,20,15,3,5.0500002,4,.52999997,1,2,7,16,1.05,.94,.88999999,2,2,22.75,30.5,7.75
213,1,1,1,1,0,0,0,0,0,1,4.5,20,4,4.5500002,4,.15000001,0,50,2,6.5,17.5,.95999998,.93000001,.93000001,4,3,2,1,121892,2,12,17.5,4,5.0500002,19,.15000001,1,2,6.5,17.5,1.05,.94,.94,4,3,18.5,24.75,6.25
214,1,0,1,1,0,0,0,0,0,0,2,30,3,4.6199999,6.5,.25,0,75,2,7,16,1.02,.88999999,.91000003,2,2,1,1,111892,1,0,35,5,5.0500002,,,0,2,6.75,16.25,1.04,.93000001,.95999998,3,2,20,22.5,2.5
215,1,0,1,1,0,0,0,0,0,0,10,10,3,4.5,13,.2,0,100,2,7,16,1.0599999,.88999999,.91000003,3,3,1,1,111092,,20,10,3,5.0500002,26,.15000001,0,3,7,16,.93000001,.83999997,.93000001,3,3,18,28,10
216,2,0,1,1,0,0,0,0,0,0,2,11,3,4.25,13,.15000001,0,100,1,11,10.5,1.0599999,.94999999,2.77,4,3,1,1,111192,,2,18,3,5.0500002,13,.2,0,2,11,10.5,1.05,.94,2.75,5,3,10.5,14,3.5
217,2,1,1,1,0,0,0,0,0,0,2,13,2,4.25,13,.17,0,73,1,11,10,.94999999,.74000001,2.1900001,4,3,1,1,111192,,0,12,3,5.0500002,26,.2,0,1,10.5,10.5,.94,.73000002,2.3199999,4,4,10.5,9,-1.5
218,2,1,1,1,0,0,0,0,0,0,7,4,2,4.3499999,26,.25,0,5,1,11,10,.85000002,.74000001,2.3399999,3,2,1,1,111192,,5,3,3,5.0500002,26,.25,0,1,11,11,.94999999,.73000002,2.1900001,3,3,11,9.5,-1.5
219,2,1,1,1,0,0,0,0,0,0,3,9,3,4.25,19,.12,0,50,2,11,10,.91000003,.74000001,2.3399999,4,3,1,1,111192,,9,9,2,5.0500002,26,.18000001,0,1,10.5,10.5,.94,.73000002,2.53,,,10.5,15.5,5
220,2,0,1,1,0,0,0,0,0,4,3,15,2,4.25,13,.25,0,50,2,11,10,1.0599999,.94999999,2.77,5,3,1,1,111492,1,3,12,3,5.0500002,13,.13,0,1,11,10,1.09,.89999998,2.75,4,3,12.5,12,-.5
221,2,0,1,1,0,0,0,0,0,0,1,28,3,4.5999999,13,.25,0,95,1,11,11,1.02,.94999999,2.5599999,4,3,1,1,111192,,1,15,3,5.0500002,13,.15000001,0,1,11,11,1.05,.94,2.53,4,3,18,11.5,-6.5
222,3,1,1,1,0,0,0,0,0,3,2,24,3,4.25,13,.25,0,75,2,9,12.5,1.12,.85000002,1.0599999,3,1,1,1,111192,,2,15,3,5.0500002,26,.2,0,2,10,11.5,1.01,1.01,.88999999,3,1,17,12.5,-4.5
223,3,1,1,1,0,0,0,0,0,2,3,18,3,4.75,13,.25,0,30,2,6,16,,,,3,2,2,1,121892,2,3,20,3,5.0500002,28,.25,0,2,7,15,1.01,1.01,.94,3,2,15,16,1
225,3,1,1,1,0,0,0,0,0,0,3,27,3,4.75,13,.2,0,25,2,6,17,1.0599999,.91000003,.91000003,6,3,1,1,111192,,12,25,4,5.0500002,4,.1,0,2,6,17,1.01,1.01,.94,5,3,19.5,28.5,9
226,4,0,1,1,0,0,0,0,0,0,0,22,2,4.25,13,.25,0,60,1,10.5,11.5,.94999999,.70999998,.94999999,2,2,1,1,111792,1,0,26,2,5.3000002,52,.15000001,0,1,10.5,10.5,1,.85000002,.94,2,2,13,15,2
228,4,0,1,1,0,0,0,0,0,0,3,28.5,3,4.5,13,.2,1,20,3,10.5,12.5,.94999999,.86000001,.94999999,2,2,1,1,111392,,11,19,3,5.0500002,,,0,1,10.5,12.5,1,.83999997,.88999999,2,,20.25,23.5,3.25
229,1,0,1,0,0,1,0,0,0,2,3,40,3,4.5,26,.1,0,30,2,8.5,13.5,.94999999,.94999999,1.0599999,5,4,1,1,111692,,22,11,3,5.5,26,.15000001,1,2,8.5,13.5,1.01,.94,.94,4,3,26,30.5,4.5
230,1,0,1,0,0,1,0,0,0,0,0,25,3,4.25,26,.1,0,60,1,7,17,1.02,.94999999,.94999999,3,2,1,1,111692,,15,17,3,5.0500002,26,.18000001,0,1,7,17,1.05,.94,.94,3,2,15.5,26.5,11
231,1,0,1,0,0,1,0,0,0,1,,10,3,,26,,0,,2,7,16,1.02,1.02,.94999999,2,2,1,1,111092,,16,6,4,5.0500002,4,.25,0,1,7,16,.89999998,.94999999,.94999999,3,1,,23,
232,1,0,1,0,0,1,0,0,0,3,18,6,3,4.75,26,.12,1,46,3,7,16,1.0599999,.94999999,.94999999,3,3,1,1,111892,3,18,10,4,5.0500002,13,.25,0,2,7,15,1.05,.94999999,.94999999,3,2,24,27,3
233,1,0,1,0,0,1,0,0,0,0,19,7,3,4.6500001,13,.31999999,0,10,2,7,16,1.17,.94999999,.94999999,2,2,1,1,111092,,15,7,3,5.0500002,26,.25,0,2,7,16,1.05,.94,.94,2,2,25.5,21.5,-4
234,1,0,1,0,0,1,0,0,0,2,0,10,3,5,26,,0,0,2,7,16,1.12,,.49000001,2,2,1,1,111892,2,10,4,3,5.0500002,26,,0,2,7,16,1.04,1.01,.57999998,3,2,8,15,7
235,1,0,1,0,0,1,0,0,0,2,5,17,1,4.25,26,.20999999,0,100,2,7,16,1.02,.94999999,1.04,3,2,2,1,121592,4,,28,3,5.0500002,28,.5,1,2,8,15,1.11,1.11,1.03,4,2,14.5,,
236,1,0,1,0,0,1,0,0,0,3,0,34,4,,17,,0,95,1,7,17,1.1799999,1.02,1.0599999,4,3,1,1,111792,2,23,22,4,5.0500002,8,.28,1,1,7,18,1.1,1.01,.99000001,4,3,21,38,17
237,1,0,1,0,0,1,0,0,0,2,12,11,4,4.25,13,.25,0,50,2,7,16,1.11,.94999999,1.01,2,2,1,1,110992,,9,17,4,5.0500002,4,.2,0,2,7,15.5,.94,.94,1,2,2,21.5,21.5,0
238,2,1,1,0,0,1,0,0,0,2,0,22,3,4.75,9,.12,0,100,1,11,12,1.0599999,1.02,2.3399999,5,3,1,1,111192,,25,15,5,5.0500002,13,.25,1,1,11,12,1.05,1.05,2.3199999,5,3,14,37.5,23.5
239,2,0,1,0,0,1,0,0,0,1,15,4,3,4.25,13,.25,0,35,1,10.5,13.5,1.05,.94999999,2.74,5,3,1,1,111292,,0,19,2,5.0500002,26,.28,0,1,10.5,12.5,1.05,.83999997,2.3199999,5,3,20,11.5,-8.5
240,3,1,1,0,0,1,0,0,0,0,15,35,3,5.0999999,26,.25,0,20,2,6,17,1.1799999,1.02,1.0599999,6,4,1,1,111692,1,15,15,3,5.0500002,26,.15000001,0,2,6,17,1.1,1,1.05,6,4,35.5,25.5,-10
241,3,0,1,0,0,1,0,0,0,2,15,25,4,5,13,.37,1,30,2,7,16,1.12,1.02,1.0599999,5,5,1,1,111192,1,15,,4,5.0500002,26,.1,0,2,7,16,1.15,1.05,1.05,5,5,31.5,,
242,3,1,1,0,0,1,0,0,0,0,25,10,3,5.25,13,.25,1,0,2,6,17,1.1,1.02,1.0599999,5,4,1,1,111192,,12,10,3,5.0500002,8,.2,1,2,7,16,1.11,1.0599999,1.05,6,4,33,20,-13
243,3,1,1,0,0,1,0,0,0,0,7,25,3,4.5,8,.25,0,40,2,6,16.5,1.0700001,1.02,.74000001,6,3,1,1,111192,,7,22,3,5.0500002,26,.1,0,2,7,15.5,1.11,1.0599999,1.05,6,2,22.5,21,-1.5
244,3,1,1,0,0,1,0,0,0,3,12,30,3,4.25,4,.25,0,40,2,6,18,1.17,1.12,1.02,4,3,1,1,111192,,16,12,6,5.0500002,26,.25,0,2,7,17,1.11,1.12,1.05,5,3,30,28,-2
245,3,0,1,0,0,1,0,0,0,3,15,8,3,5.5,,,0,0,1,8.5,13.5,1.2,1.02,1.02,4,2,1,1,111792,3,8,12,4,5.0500002,26,,0,1,8.5,13,1.11,1.11,1.05,5,1,22,18,-4
247,4,0,1,0,0,1,0,0,0,3,0,40,4,4.5,13,.1,0,75,2,10.5,15.5,1.0599999,1.05,1.0599999,2,2,2,1,121792,7,0,40,4,5.0500002,,,1,2,10.5,15.5,1.11,1.09,2.0699999,2,2,24,24,0
248,4,0,1,0,0,1,0,0,0,2,8,16,6,4.75,13,.37,0,,2,10,16,1.17,.94999999,.85000002,2,2,1,1,111392,,10,14,6,5.0500002,26,.25,0,2,10,16,1.37,.94999999,2.03,2,1,22,23,1
249,1,0,1,1,0,0,0,0,1,1,6,6,4,4.3699999,4,.25,0,63,1,7,15,1.13,1.0599999,.94999999,3,2,1,1,110992,,10,12,3,5.0500002,4,.1,0,1,7,15,1.01,1.01,.94,3,2,13,19,6
250,2,1,1,1,0,0,0,0,1,2,1,4,2,4.5,13,.30000001,0,100,1,11,10,.85000002,,,4,1,1,1,111292,,2,4,3,5.0500002,6,.25,0,1,11,10,.94,.83999997,2.52,5,3,5,7,2
